timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,os,python_version,codecarbon_version,cpu_count,cpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue,cloud_provider,cloud_region
2026-04-04T20:01:49,Thumalien_RoBERTa_EN,9a310be3-e72e-4a61-baca-b7a63bbe19d0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2241.2237243749987,0.0016920469774382,7.549656730097664e-07,42.5,0.0,6.0,0.0264587808994728,0.0,0.0037353156661016,0.0301940965655744,0.0,France,FRA,nouvelle-aquitaine,macOS-26.3.1-arm64-arm-64bit-Mach-O,3.13.7,3.2.2,14,Apple M4 Pro,-0.6313,45.7502,24.0,machine,9.429699416778824,0,63.38286227007627,13.621412363647078,N,1.0,0.0,,
2026-04-04T21:15:43,Thumalien_RoBERTa_EN_V2,5981e174-9b93-41a3-8b16-a8bcc57cc215,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2355.167735834002,0.0017780706811305474,7.549656247736022e-07,42.5,0.0,6.0,0.027803948971216002,0.0,0.003925216094730008,0.03172916506594599,0.0,France,FRA,nouvelle-aquitaine,macOS-26.3.1-arm64-arm-64bit-Mach-O,3.13.7,3.2.2,14,Apple M4 Pro,-0.6313,45.7502,24.0,machine,3.0189154568744665,0,64.03983774551665,13.788688842095848,N,1.0,0.0,,
